"","state_abbr","favor_dem","month","newcases_per100k_avg"
"307","LA",1,3,137.165296193373
"308","LA",1,4,618.667931890377
"309","LA",1,5,510.249608697423
"310","LA",1,6,930.543718182769
"311","LA",1,7,1096.29515304956
"312","LA",1,8,943.758118441383
"313","LA",1,9,378.216348124563
"314","LA",1,10,309.272949507362
"315","LA",1,11,1096.76623783515
"316","ME",0,3,5.7761619814641
"317","ME",0,4,33.0431899033368
"318","ME",0,5,38.3231338761043
"319","ME",0,6,28.2709089152248
"320","ME",0,7,20.4656966136611
"321","ME",0,8,30.9049332691416
"322","ME",0,9,46.5461716036547
"323","ME",0,10,89.5486062788324
"324","ME",0,11,364.593177924252
"325","ME",1,3,20.8472489523046
"326","ME",1,4,55.334729119094
"327","ME",1,5,55.7949156795268
"328","ME",1,6,42.0995619919854
"329","ME",1,7,39.633855470211
"330","ME",1,8,35.8495691741874
"331","ME",1,9,47.7132441670016
"332","ME",1,10,98.0153756026436
"333","ME",1,11,296.48766532688
"334","MD",0,3,11.6238466993969
"335","MD",0,4,172.810652155224
"336","MD",0,5,268.445805242714
"337","MD",0,6,113.565894454777
"338","MD",0,7,247.663330273666
"339","MD",0,8,249.01211138083
"340","MD",0,9,267.940611874453
"341","MD",0,10,334.990601833794
"342","MD",0,11,988.259218231402
"343","MD",1,3,30.8176857466659
"344","MD",1,4,351.169125819811
"345","MD",1,5,527.522466318729
"346","MD",1,6,261.364176851445
"347","MD",1,7,375.717629486466
"348","MD",1,8,360.637287270425
"349","MD",1,9,269.017583504037
"350","MD",1,10,337.540169717732
"351","MD",1,11,840.368850241521
"352","MA",1,3,123.987439966229
"353","MA",1,4,565.483823626245
"354","MA",1,5,307.565180989812
"355","MA",1,6,71.3094097945816
"356","MA",1,7,74.9240017124945
"357","MA",1,8,90.5909199470686
"358","MA",1,9,103.288681758666
"359","MA",1,10,254.827806875279
"360","MA",1,11,693.713982691096
"361","MI",0,3,12.9122970086328
"362","MI",0,4,102.796777220853
"363","MI",0,5,68.3361039107864
"364","MI",0,6,55.8161738206584
"365","MI",0,7,136.290594447858
"366","MI",0,8,154.831000947998
"367","MI",0,9,223.534072984826
